Depth,Temperature
761,51.118
761.5,51.074
762,51.117
762.5,51.316
763,51.476
763.5,51.454
764,51.371
764.5,51.348
765,51.337
765.5,51.324
766,51.366
766.5,51.423
767,51.378
767.5,51.233
768,51.102
768.5,51.035
769,50.999
769.5,50.975
770,50.964
770.5,50.945
771,50.93
771.5,51.005
772,51.192
772.5,51.346
773,51.333
773.5,51.266
774,51.355
774.5,51.566
775,51.676
775.5,51.605
776,51.488
776.5,51.446
777,51.464
777.5,51.487
778,51.467
778.5,51.359
779,51.206
779.5,51.119
780,51.107
780.5,51.075
781,51.026
781.5,51.063
782,51.202
782.5,51.355
783,51.448
783.5,51.492
784,51.522
784.5,51.505
785,51.398
785.5,51.333
786,51.485
786.5,51.749
787,51.835
787.5,51.69
788,51.502
788.5,51.407
789,51.413
789.5,51.481
790,51.561
790.5,51.604
791,51.571
791.5,51.469
792,51.397
792.5,51.448
793,51.551
793.5,51.531
794,51.346
794.5,51.173
795,51.193
795.5,51.355
796,51.45
796.5,51.389
797,51.289
797.5,51.307
798,51.478
798.5,51.692
799,51.771
799.5,51.629
800,51.406
800.5,51.336
801,51.443
801.5,51.558
802,51.601
802.5,51.614
803,51.576
803.5,51.448
804,51.316
804.5,51.299
805,51.401
805.5,51.54
806,51.618
806.5,51.578
807,51.495
807.5,51.487
808,51.528
808.5,51.511
809,51.486
809.5,51.61
810,51.855
810.5,51.988
811,51.884
811.5,51.705
812,51.63
812.5,51.629
813,51.636
813.5,51.697
814,51.776
814.5,51.729
815,51.543
815.5,51.367
816,51.314
816.5,51.363
817,51.457
817.5,51.597
818,51.747
818.5,51.762
819,51.62
819.5,51.513
820,51.533
820.5,51.567
821,51.614
821.5,51.766
822,51.906
822.5,51.852
823,51.678
823.5,51.581
824,51.591
824.5,51.592
825,51.525
825.5,51.464
826,51.484
826.5,51.529
827,51.515
827.5,51.452
828,51.389
828.5,51.381
829,51.486
829.5,51.655
830,51.725
830.5,51.651
831,51.562
831.5,51.541
832,51.527
832.5,51.514
833,51.622
833.5,51.848
834,51.968
834.5,51.862
835,51.695
835.5,51.644
836,51.685
836.5,51.698
837,51.653
837.5,51.601
838,51.56
838.5,51.477
839,51.358
839.5,51.31
840,51.4
840.5,51.568
841,51.713
841.5,51.762
842,51.723
842.5,51.722
843,51.785
843.5,51.711
844,51.455
844.5,51.353
845,51.598
845.5,51.899
846,51.962
846.5,51.851
847,51.726
847.5,51.65
848,51.644
848.5,51.661
849,51.636
849.5,51.577
850,51.532
850.5,51.522
851,51.542
851.5,51.563
852,51.591
852.5,51.673
853,51.808
853.5,51.927
854,51.959
854.5,51.856
855,51.647
855.5,51.509
856,51.614
856.5,51.895
857,52.091
857.5,52.043
858,51.832
858.5,51.643
859,51.563
859.5,51.55
860,51.559
860.5,51.614
861,51.717
861.5,51.778
862,51.744
862.5,51.707
863,51.751
863.5,51.816
864,51.799
864.5,51.694
865,51.601
865.5,51.614
866,51.699
866.5,51.739
867,51.704
867.5,51.701
868,51.817
868.5,52.005
869,52.103
869.5,51.994
870,51.776
870.5,51.694
871,51.845
871.5,52.044
872,52.072
872.5,51.949
873,51.823
873.5,51.713
874,51.581
874.5,51.491
875,51.519
875.5,51.633
876,51.767
876.5,51.901
877,52.005
877.5,52.024
878,51.948
878.5,51.834
879,51.789
879.5,51.899
880,52.117
880.5,52.235
881,52.134
881.5,51.943
882,51.856
882.5,51.906
883,52.003
883.5,52.036
884,51.934
884.5,51.772
885,51.708
885.5,51.761
886,51.814
886.5,51.82
887,51.834
887.5,51.899
888,52.008
888.5,52.129
889,52.189
889.5,52.128
890,51.99
890.5,51.898
891,51.946
891.5,52.084
892,52.173
892.5,52.16
893,52.083
893.5,51.948
894,51.794
894.5,51.748
895,51.828
895.5,51.91
896,51.964
896.5,52.023
897,51.998
897.5,51.832
898,51.706
898.5,51.801
899,51.97
899.5,51.989
900,51.903
900.5,51.851
901,51.804
901.5,51.73
902,51.706
902.5,51.727
903,51.663
903.5,51.477
904,51.3
904.5,51.251
905,51.314
905.5,51.428
906,51.592
906.5,51.767
907,51.819
907.5,51.704
908,51.574
908.5,51.542
909,51.518
909.5,51.446
910,51.483
910.5,51.718
911,51.943
911.5,51.917
912,51.703
912.5,51.582
913,51.701
913.5,51.909
914,51.949
914.5,51.784
915,51.618
915.5,51.547
916,51.464
916.5,51.317
917,51.227
917.5,51.287
918,51.467
918.5,51.675
919,51.797
919.5,51.826
920,51.899
920.5,52.035
921,52.073
921.5,52.005
922,52.011
922.5,52.086
923,52.017
923.5,51.784
924,51.623
924.5,51.653
925,51.733
925.5,51.733
926,51.707
926.5,51.75
927,51.844
927.5,51.922
928,51.959
928.5,51.982
929,52.028
929.5,52.06
930,51.997
930.5,51.859
931,51.789
931.5,51.833
932,51.852
932.5,51.769
933,51.75
933.5,51.947
934,52.184
934.5,52.145
935,51.856
935.5,51.649
936,51.649
936.5,51.682
937,51.675
937.5,51.701
938,51.726
938.5,51.657
939,51.543
939.5,51.485
940,51.497
940.5,51.555
941,51.646
941.5,51.744
942,51.813
942.5,51.859
943,51.909
943.5,51.91
944,51.769
944.5,51.581
945,51.626
945.5,51.969
946,52.266
946.5,52.181
947,51.836
947.5,51.59
948,51.545
948.5,51.552
949,51.566
949.5,51.644
950,51.718
950.5,51.662
951,51.525
951.5,51.479
952,51.594
952.5,51.797
953,51.977
953.5,52.056
954,52.014
954.5,51.886
955,51.733
955.5,51.624
956,51.628
956.5,51.796
957,52.062
957.5,52.234
958,52.183
958.5,51.994
959,51.833
959.5,51.757
960,51.718
960.5,51.695
961,51.714
961.5,51.771
962,51.795
962.5,51.74
963,51.691
963.5,51.762
964,51.907
964.5,51.967
965,51.908
965.5,51.845
966,51.813
966.5,51.716
967,51.584
967.5,51.65
968,51.979
968.5,52.258
969,52.214
969.5,51.984
970,51.837
970.5,51.806
971,51.81
971.5,51.852
972,51.916
972.5,51.899
973,51.776
973.5,51.665
974,51.644
974.5,51.686
975,51.806
975.5,52.031
976,52.208
976.5,52.169
977,52.048
977.5,52.059
978,52.11
978.5,52.027
979,51.958
979.5,52.108
980,52.306
980.5,52.258
981,52.012
981.5,51.817
982,51.736
982.5,51.699
983,51.693
983.5,51.718
984,51.748
984.5,51.784
985,51.832
985.5,51.897
986,51.981
986.5,52.033
987,52.019
987.5,52.042
988,52.179
988.5,52.314
989,52.347
989.5,52.307
990,52.195
990.5,52.038
991,52.038
991.5,52.288
992,52.5
992.5,52.407
993,52.17
993.5,52.072
994,52.103
994.5,52.133
995,52.16
995.5,52.189
996,52.166
996.5,52.124
997,52.158
